source_id,title,publisher,url,license,license_url,access,formats,geography,temporal_coverage,update_cadence,value_chain_stages,key_fields,questions_supported,known_limitations,ingest_priority,status,last_verified
usitc_dataweb,USITC DataWeb,U.S. International Trade Commission,https://dataweb.usitc.gov/,US federal data,https://www.usitc.gov,interactive export,"CSV; XLSX",United States trade partners,historical to current,monthly,"materials; cells; modules; inverter; eBOS","HTS; country; quantity; value; rate","What are direct import quantities and countries under precise tariff lines?","Account may be required for saved queries; HTS crosswalk maintenance required",P0,ready_with_caveats,2026-09-10
usgs_mcs_2026,Mineral Commodity Summaries 2026,U.S. Geological Survey,https://pubs.usgs.gov/publication/mcs2026,US federal public domain,https://www.usgs.gov/data-management/data-licensing,direct download,"PDF; XLSX; CSV",United States and global,2021-2025 estimates plus history,annual,"silicon; silver; aluminum; copper; tellurium; cadmium; zinc; tin; lead; steel; soda ash","production; imports; exports; consumption; net import reliance; import sources; reserves","For each raw material how dependent is the U.S. and which countries dominate?","Commodity-wide not solar-specific; some company-sensitive values withheld",P0,ready,2026-09-10
usgs_us_mineral_facilities_2026,Mines Smelters Refineries and Recycling Facilities in the United States,U.S. Geological Survey,https://www.usgs.gov/data/mines-smelters-refineries-and-recycling-facilities-united-states,US federal public domain,https://www.usgs.gov/data-management/data-licensing,direct download,"CSV; geospatial",United States,current 2026 release,periodic,"raw materials; refining; recycling","facility; commodity; activity; coordinates; status","Where does U.S. mineral extraction and processing capacity physically exist?","Not solar-specific; capacity/completeness varies by commodity",P0,ready,2026-09-10
usgs_global_mineral_facilities_2024,2024 Minerals Yearbook Global Production and Facility Data,U.S. Geological Survey,https://www.usgs.gov/data/2024-minerals-yearbook-volume-iii-area-reports-international-country-reports-global-production,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,direct download,CSV,Global,2024,annual/periodic,"raw materials; refining","country; facility; commodity; production; capacity","Which countries and facilities concentrate mineral production and processing?","Publication lags; coverage and capacity vary by commodity",P0,ready,2026-09-10
iea_pv_supply_chains_2022,Solar PV Global Supply Chains,International Energy Agency,https://www.iea.org/reports/solar-pv-global-supply-chains,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,web report and chart downloads,"HTML; PDF; chart data",Global,historical and projections published 2022,published edition,"polysilicon; wafer; cell; module; materials","country/region production; capacity; concentration; projection","Where are global PV stages concentrated and how may this change?","Some data are modeled/aggregated; 2022 vintage; verify individual chart download availability",P0,ready_with_caveats,2026-09-10
iea_etp_2026,Energy Technology Perspectives 2026 Supply Chain Risks and Industrial Competitiveness,International Energy Agency,https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,web report and downloads,"HTML; PDF; chart data",Global,current and projected to 2030/2035,published edition,"PV manufacturing; trade; concentration","country/region capacity; production; trade; projection","How concentrated are current and future clean-technology supply chains?","Regional aggregation; not U.S. purchasing records",P0,ready_with_caveats,2026-09-10
nrel_pv_ice,PV ICE,National Laboratory of the Rockies,https://github.com/NatLabRockies/PV_ICE,BSD-3-Clause,https://github.com/NatLabRockies/PV_ICE/blob/main/LICENSE,direct download,"CSV; Python; notebooks",Global / user-defined,historical and modeled annual baselines,versioned,"module BOM; materials; manufacturing yield; recycling","mass per area; efficiency; yield; silver; silicon; glass; aluminum; copper; polymers","How many tonnes of material are needed per GW under evolving designs?","c-Si only in shipped baselines; literature-derived data scope/provenance needs review",P1,ready_with_caveats,2026-09-10
doe_pv_supply_chain_2022,Solar Photovoltaics Supply Chain Review,U.S. Department of Energy,https://www.energy.gov/cmei/systems/solar-photovoltaics-supply-chain-review-report,US federal public domain,https://www.energy.gov/web-policies,direct download,PDF,"United States; global",published 2022,published edition,"c-Si; CdTe; materials; components; manufacturing","process map; stage description; vulnerability; policy","What are the stages and vulnerabilities in c-Si and CdTe chains?","Narrative/aggregate report; aging point estimates",P1,ready,2026-09-10
doe_grid_supply_chain_2022,Electric Grid Supply Chain Review,U.S. Department of Energy,https://www.energy.gov/sites/default/files/2022-02/Electric%20Grid%20Supply%20Chain%20Report%20-%20Final_0.pdf,US federal public domain,https://www.energy.gov/web-policies,direct download,PDF,"United States; global",published 2022,published edition,"transformer; cable; switchgear; grid components","component chain; material; capacity; vulnerability","What is inside interconnection equipment and where are grid-equipment risks?","Broad grid scope; not solar-project procurement; aging values",P1,ready,2026-09-10
commerce_qscr_2025,2021-2024 Quadrennial Supply Chain Review,U.S. Department of Commerce,https://www.trade.gov/sites/default/files/2025-01/20212024-Quadrennial-Supply-Chain-Review.pdf,US federal public domain,https://www.trade.gov/about-us/policies,direct download,PDF,"United States; global",2021-2024,published edition,"semiconductors; electronics; critical inputs","capacity; country concentration; vulnerability; policy","What tier-two electronic and semiconductor risks affect inverters and controls?","Broad economy; not solar-specific; mostly narrative/aggregate",P2,ready,2026-09-10
dol_forced_labor_goods,List of Goods Produced by Child Labor or Forced Labor,U.S. Department of Labor,https://www.dol.gov/agencies/ilab/reports/child-labor/list-of-goods,US federal public domain,https://www.dol.gov/general/copyright,direct download,"XLSX; PDF; HTML",Global,current list with historical editions,periodic,"polysilicon; ingot; wafer; cell; module; upstream materials","country; good; labor-risk type; evidence year","Which stages have documented country-level forced-labor risk indicators?","Risk indicator not proof about a company or shipment; methodology changes",P1,ready,2026-09-10
dol_importwatch,ImportWatch,U.S. Department of Labor,https://www.dol.gov/agencies/ilab/importwatch,US federal public information; embedded export terms to verify,https://www.dol.gov/general/copyright,interactive dashboard,"Tableau; downloadable views",United States imports by partner,2016-2024,periodic,"trade; labor risk","HTS; country; import value; listed good; risk category","How much U.S. trade overlaps DOL forced-labor goods categories?","Dashboard export and embedded-data license need verification; risk indicator only",P2,license_review,2026-09-10
dhs_uflpa,UFLPA Entity List and resources,U.S. Department of Homeland Security,https://www.dhs.gov/uflpa,US federal public domain,https://www.dhs.gov/site-policies,web and downloadable documents,"HTML; PDF; XLSX when supplied",China / United States enforcement,current and historical updates,periodic,"polysilicon; materials; entities","entity; product; list basis; effective date","Which named entities/products are subject to UFLPA screening?","Entity-list presence is an enforcement signal; name matching requires care",P1,ready_with_caveats,2026-09-10
big_green_machine,The Big Green Machine Database,Atlas Public Policy,https://www.the-big-green-machine.com/access-database,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,access-request Google Sheet,"Google Sheets; exportable CSV/XLSX",United States,announcements since IRA era,monthly,"manufacturing announcements; investment; jobs; status","facility; company; sector; status; investment; jobs; date","Which solar manufacturing projects are announced built delayed or closed?","Broad clean energy; access request; announcements not capacity or production",P1,ready_with_caveats,2026-09-10
clean_investment_monitor,Clean Investment Monitor,Rhodium Group and MIT CEEPR,https://www.cleaninvestmentmonitor.org/us,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,web / ClimateDeck,"interactive; export subject to access",United States,2018-current,quarterly,"manufacturing investment; announcements","facility; technology; investment; status; period","How much clean-manufacturing investment is realized versus announced?","Broad categories; facility export may require ClimateDeck access; not technical capacity",P2,ready_with_caveats,2026-09-10
eia_pv_shipments,Photovoltaic Module Shipments,U.S. Energy Information Administration,https://www.eia.gov/renewable/monthly/solar_photo/,US federal public domain,https://www.eia.gov/about/copyrights_reuse.php,direct download,"XLSX; HTML",United States,monthly through 2024-09; annual through 2022,suspended,"module production; shipments; imports","shipments; imports; exports; price; technology","What production and shipment volumes were observed historically?","Monthly collection suspended; annual report stale; confidentiality suppressions",P2,stale_but_useful,2026-09-10
doe_quarterly_solar_update,Quarterly Solar Industry Update,U.S. Department of Energy and National Laboratory of the Rockies,https://www.energy.gov/cmei/systems/quarterly-solar-industry-update,US federal publication with third-party source caveats,https://www.energy.gov/web-policies,direct download,"PDF; PPTX",United States and global,quarterly snapshots,quarterly,"deployment; imports; production; manufacturing","capacity; production; imports; price; installations","What are recent aggregate market and manufacturing trends?","Many charts derive from proprietary/third-party sources; use published aggregates and inspect each citation",P1,reference_only,2026-09-10
bga_solar_mfg_2025,U.S. Solar Manufacturing: A Supply Chain Analysis,BlueGreen Alliance,https://www.bluegreenalliance.org/resources/u-s-solar-manufacturing-a-supply-chain-analysis/,No clear facility-data license found,,public ArcGIS and spreadsheet,"FeatureServer; GeoJSON; spreadsheet",United States,2025 edition,published edition,"PV materials; components; equipment; facilities","company; facility; product; status; capacity; coordinates","What facilities beyond DOE's narrow map exist across the full supply chain?","License unclear; evidence quality and status normalization vary; do not ingest without permission",none,blocked_license,2026-09-10
seia_supply_chain_dashboard,Solar and Storage Supply Chain Dashboard,Solar Energy Industries Association,https://seia.org/research-resources/solar-storage-supply-chain-dashboard/,Copyright / members-only full data,,public dashboard; member download,interactive,United States,current announcements and aggregate capacity,ongoing,"solar manufacturing; storage manufacturing","facility; product; status; aggregate capacity","What capacity does the industry association report?","Full dataset restricted; public aggregates may differ by timing/definition",none,reference_only,2026-09-10
sinovoltaics_supply_map,North America Solar Supply Chain Map,Sinovoltaics,https://sinovoltaics.com/sinovoltaics-us-solar-market-supply-chain-map-north-america/,No clear open-data license,,form-gated,PDF,North America,current edition,about every four months,"module; cell; inverter; mounting; battery","company; site; product; capacity","Which manufacturers does a commercial inspection firm track?","Form-gated; PDF; no clear reuse or bulk-data license",none,blocked_license,2026-09-10
solar_power_world_mfrs,U.S. Solar Panel Manufacturers,Solar Power World,https://www.solarpowerworldonline.com/u-s-solar-panel-manufacturers/,All rights reserved,,web,HTML,United States,current directory,editorial updates,"module assembly","company; location; product; narrative","Which manufacturers are operating or planning U.S. module lines?","Cannot reproduce without permission; editorial not structured data",none,reference_only,2026-09-10
acp_america_builds_power,America Builds Power,American Clean Power Association,https://cleanpower.org/america-builds-power/,No clear bulk-data license found,,interactive dashboard,interactive,United States,current announcements,ongoing,"clean energy manufacturing; solar","facility; technology; investment; jobs","What broader clean-energy factories have been announced?","No clear open download/license; broad and announcement-heavy",none,blocked_license,2026-09-10
